Sentiments,Tweets
Negative,@Borderlands something seems very broken with M10 drop rates. Constantly dropping less lot than lower mayhem levels. How is this possible with a +2500% loot modifier on. I swear I'm seeing more greens and blues than anything on boss kills.
Negative,@ Borderlands something seems very broken with M10 drop rates. Constantly falling less than lower chaos levels. How is this possible when a + 2500% loot modifier is on. I swear I see more greens and blues than anything on boss kills.
Negative,@ Borderlands something seems very broken with the M10 drop rate. Constantly falling less than the lower levels of mayhem. As possible with the +% production modifier.
Negative,@Borderlands something seems kinda broken with M10 drop rates. Constantly pushing less lot than normal mayhem levels. How is this possible with a +2500% loot modifier on. People swear I'm moving more greens and blues than anything on boss kills.
Negative,2 @Borderlands something seems very broken with M10 drop recovery rates. Constantly dropping seems less lot than lower mayhem levels. 3 How fast is this possible with a + 2500 % loot modifier next on. 1 I swear I'm actually seeing... more greens and blues now than anything on boss kills.
Negative,@Borderlands something seems very broken with M10 drop rates. Constantly dropping less gold from lower amounts here. How is this worked with your +2500% loot modifier on.<unk> swear I'm seeing more greens over blues than anything on boss kills.
Positive,I got to play Borderlands 2 with the entire polycule tonight. It was fun and magical. The the evening had to end. *sigh*.
Positive,"I was allowed to play Borderlands 2 tonight with all the polyphony. It was funny and magical, the evening had to end. * sigh *."
Positive,I had to play Borderlands 2 with all the polyslice tonight. It was fun and magical. The evening had to end. * sigh *.
Positive,"I got to enjoy Borderlands 2 with the entire polycule tonight. It was fun, magical. The the evening had better end. *sigh*."
Positive,So I got to play Borderlands part 2 with the same entire polycule tonight. It was really fun and magical. The The the evening finally had to end. * sigh *.
Positive,I got to play Jackson 2 with his entire polycule tonight. It was fun completely magical. The happy evening had to end. *sigh*.
Negative,This is shitty. I get that profit-wise it was less than expected due to a huge budget.
Negative,This is crappy. I get that it was less profit than expected due to a huge budget.
Negative,This is crap. I realize that the profit turned out to be lower than expected because of the huge budget.
Negative,This is shitty. I get that profit-wise it had less than expected due to a busted budget.
Negative,This is shitty. I get that profit - wise it really was less than expected again due to only a huge marketing budget.
Negative,This is shitty. I get that profit-wise it was less business expected prior to a huge problem.
Positive,Borderlands 3 is good so far but Borderlands 2 will always be the fav
Positive,"Borderlands 3 is good so far, but Borderlands 2 will always be the favorite"
Positive,Borderlands 3 is good so far but Borderlands 2 will always be the fav
Positive,Borderlands 3 is good so far but Borderlands 2 not always be the fav
Positive,Borderlands 3 is good so far but... Borderlands 2 certainly will always probably be the fav
Positive,<unk> 3 is good so far but Guardian 2 will always be the fav
Positive,"Finally got around to starting Borderlands 3 this weekend, and I love it already. . So well made. . . "
Positive,"Finally I managed to start Borderlands 3 this weekend, and I love it already... So well done..."
Positive,Finally got to the launch of Borderlands 3 this weekend and I'm already enjoying it... So well done...
Positive,"Finally got around to starting Borderlands 3 this weekend, and I loved it already.. So well loved..."
Positive,"Finally got around to officially starting Borderlands 3 this whole weekend, and I love it going already.. So well you made..."
Positive,"Finally got around to starting Borderlands 2 this weekend, and I turned it over.. So many made..."
Positive,What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards the end! . . After the stream we raided @ClocksyDraws ! What a amazing streamer with beautiful art pieces! Give him a follow if you don't already do! . . Goodnight!. .  
Positive,What a night! I had loads of fun playing Borderlands 2! We are getting closer and closer to the end!.. After the stream we have raided @ ClocksyDraws! What an amazing streamer with beautiful artwork! Give it a follow-up if you haven't done it yet!.. Good night!.
Positive,What a night! I had fun playing Borderlands 2! We're getting closer and closer to the end!... After the stream we drove through @ ClocksyDraws! What an amazing street with beautiful works of art! Let him imitate if you haven't already!.. Good night!..
Positive,What a night! I had heeps of fun playing Borderlands 2! We're getting closer and closer towards this end!!. Through the stream we raided @ClocksyDraws! What a amazing streamer for beautiful art pieces! Give it a follow if you don't already do!<unk>. Goodnight!..
Positive,But What a night! I had heeps of fun playing Borderlands 2! We'll re getting any closer... and closer just towards the end!.. After the stream we raided @ClocksyDraws! a What brilliant a amazing streamer with beautiful art pieces! Give him for a follow if you can don't already go do!.. Goodnight!..
Positive,of a night! I just heeps in fun playing Borderlands 2! We're getting closer and closer towards this end!.. After the stream was raided @ClocksyDraws! What a cool streamer with beautiful art pieces! Give such a follow where we don't already so!.. Goodnight!..
Negative,bl3 using girl on fire for the end credits is why i’m gonna quit borderlands forever
Negative,bl3 with girl on fire for the end credits is the reason why I will leave Borderlands forever
Negative,bl3 using girl on fire for the end credits is why i'm gonna quit borderlands forever
Negative,bl3 using girl by fire for the end credits reminds why i’m gonna quit borderlands forever
Negative,bl3 using girl on fire for writing the end credits It is probably why i r ’ m gonna quit borderlands forever
Negative,bl3 old girl on fire for the end credits knows why i’m gonna watch borderlands forever
Positive,YOOOOOOOOOO i'm actually so hyped for this movie
Positive,YOOOOOOOOOOO I'm really so puffed up for this movie
Positive,YOOOOOOOOO i'm actually so hyped for this movie
Positive,YOOOOOOOOOO i'm currently so hyped for this movie
Positive,YOOOOOOOOOO when i'm not actually so hyped for all this little movie
Positive,YOOOOOOOOOO i'm actually so hyped for that guy
Positive,Bc all those games are okay this borderlands is the best of its kind
Positive,"Bc all these games are fine, this border country is the best of its kind."
Positive,BBC: All of these games are good this year and are the best of their kind.
Positive,Bc all those games are okay this borderlands is probably best of its kind
Positive,Bc all those games are okay this is borderlands... is the best region of its kind
Positive,think all those games are okay this borderlands is the best of its good
Positive,The next one is Borderlands: The Handsome Collection. You're welcome
Positive,Next is Borderlands: The Handsome Collection. You are welcome.
Positive,Next up is Borderlands: The Handsome Council.
Positive,The next one is Borderlands: Best Handsome Collection. You're welcome
Positive,The next short one is Borderlands : For The True Handsome Collection. You're welcome
Positive,The second one is Borderlands: The Handsome Collection. How're welcome
Positive,I disagree. Psycho Krieg and the Fantastic Fustercluck is a wonderful end to the borderlands 3 dlc line that focuses on a fan favorite character and gives long lasting players closure on some very big questions of Krieg’s character and memorable set pieces players interact with.
Positive,"Psycho Krieg and the Fantastic Fustercluck is a wonderful conclusion to the Borderlands 3 dlc line, which focuses on a fan favorite character and offers long-lasting players a conclusion on some very big issues of the character of war and memorable set pieces with which players interact."
Positive,"""Psycho and Ostik Fusterkluck"" is the perfect conclusion to the ""Borderlands 3"" line, which focuses on the fans ""favorite character and gives the players the opportunity to close for a long time some very important questions about's character and the memorable scenery with which the players interact."
Positive,I disagree. Psycho Krieg vs the Fantastic Fustercluck is a wonderful end game the borderlands 3 dlc line that focuses on a fan favorite character and gives long lasting players closure on some very big questions of primary character and memorable set character players play with.
Positive,I seriously disagree. The Psycho Krieg and the Very Fantastic Fustercluck story is a wonderful end to the borderlands 3 dlc book line that focuses on a fan favorite character and gives long game lasting players closure on some very big questions of both Krieg ’ s character and the memorable set in pieces players always interact with.
Positive,not disagree. Klaus Krieg and the Fantastic Fustercluck have a wonderful end to the borderlands 3 dlc line that focuses on this fan favorite character and gives little range satisfying closure on several very big questions of that character and memorable set pieces players interact with.
Negative,I hate this algorithm
Negative,I hate this algorithm
Negative,I Hate This Alma Mater
Negative,I hate your algorithm
Negative,I hate this stupid algorithm
Negative,to hate this algorithm
Positive,"This April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up in gear stats, all combine to make the game fresh yet again."
Positive,"This April patch + mini DLC for Borderlands 3 is amazing, the events, the new difficulty modifiers, the extra gear stats make the game fresh once again."
Positive,The April patch + mini DLC for Borderlands 3 is amazing.
Positive,"This April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up total gear stats, all combine to make the event great yet again."
Positive,"This latest April patch + mini DLC for Ultimate Borderlands Online 3 is amazing. The story events, the brand new level difficulty modifiers, the ramp to up power in gear stats, all combine to make the game fresh yet again."
Positive,"The April patch + mini DLC for Borderlands 3 is amazing. The events, the new difficulty modifiers, the ramp up<unk> gear stats, and combine a make my game fresh fun again."
Positive,"Hey guys! @Optus appears to have had an accident just as the stream was getting good! As an apology I'll be back tomorrow for MORE borderlands! Once again, big apologies, no idea what happened!  "
Positive,"Hi guys! @ Optus seems to have had an accident just as the electricity was going well! As an excuse I'll be back tomorrow for MORE border countries! Again, big apologies, no idea what happened!"
Positive,"Hey guys! @ Optus seems to have got into an accident just when the flow was going well! As an apology I'll be back tomorrow for MORE border lands! Once again, a big apology, I have no idea what happened!"
Positive,"Hey guys! @Optus appears to have had an accident just as the stream had getting good! As an operator will be reporting tomorrow for MORE borderlands! Once again, big apologies, no idea what happened!"
Positive,"Hey guys! @Optus appears to have had an accident just as the blood stream was getting as good! Now As an apology I's ll be back tomorrow for US MORE The borderlands! But Once again, big apologies, though no idea what exactly happened!"
Positive,"<unk> guys! @Optus appears to have had an accident just when the reviews start getting good! After an apology I'll be back tomorrow for MORE borderlands! Once again, my apologies, no idea what exactly!"
Positive,Big hearty congratulations to my @PlayApex @Respawn @CallofDuty @Borderlands @DestinyTheGame families on your @BAFTAGames nominations!!! Wooohoooo!!!!
Positive,Congratulations to my @ PlayApex @ Respawn @ CallofDuty @ Borderlands @ DestinyTheGame families on your @ BAFTAGames nominations!!! Wooohoooo!!!
Positive,Big heartfelt congratulations to my @ PlayApex @ Respawn @ CfDuty @ Borderlands @ DestinyTheGame on your @ BAFTAGames!!! Woooooooo!!!
Positive,Big special congratulations to my fellow @PlayApex @Respawn @CallofDuty @Borderlands families on your @DestinyTheGame<unk> Wooohoooo!!!!
Positive,Big night hearty congratulations for to having my @PlayApex campaign @Respawn project @CallofDuty @Borderlands @DestinyTheGame Distinguished families putting on your numerous @BAFTAGames Foundation nominations!!! Wooohoooo!!!!
Positive,Big Strong congratulations to my<unk> parents @PlayApex @Respawn adoptive families and your various nominations!!! Wooohoooo!!!!
Positive,Best border character: y pic.twitter.com / XR9P3UrsqG
Positive,best borderlands character: y pic.wikipedia.org / XR9P3UrsqG
Positive,best borderlands character :y pic.twitter.com/XR9P3UrsqG
Positive,see best borderlands character :y pic.twitter.com/XR9P3UrsqG
Positive,My 4 fave games are Minecraft. Borderlands 2.Forza horizon 4. Lego star wars
Positive,My 4 favorite games are Minecraft. Borderlands 2.Forza Horizon 4. Lego Star Wars
Positive,My 4 favorite games are Minecraft. Borderlands 2.Forza h4. Lego star wars
Positive,My 4 fave games are Minecraft. Borderlands 2.Forza Tournament 4. Lego star wars
Positive,2 My favourite 4 fave games are Minecraft. Borderlands EP 2. The Forza horizon 4. Lego star wars
Positive,screen 4 fave titles are Minecraft. Borderlands 2.Forza horizon 4. Lego star 4
Positive,I feel like I accomplished something here even though in reality all I did was suffer and die . . .  
Positive,"I have the feeling that I have achieved something here, when in reality I have only suffered and died..."
Positive,"I feel like I've spilled something here, when in fact all I've done is suffer and die..."
Positive,I feel like I accomplished something here even though in reality all I felt was fuck and die...
Positive,I feel like I accomplished something here even though now in my reality seemingly all I did here was suffer and die...
Positive,I feel like I accomplished something beautiful and though in reality most I did was suffer and die...
Negative,Hey @Borderlands i cant access the new dlc. I can start the mission but then nothing. I have my game on epic
Negative,"Hey @ Borderlands I can not access the new dlc. I can start the mission, but then nothing. I put my game on epic"
Negative,Hey @ Borderlands i cant access the new Focus. I can start the mission but then nothing. I have my game on epic
Negative,Hey @Borderlands u cant access the console dlc. I can start the mission but then nothing. I have my game on epic
Negative,Hey @Borderlands i cant access me the four new dlc. I still can start the mission quickly but then nothing. now I have hit my game on epic
Negative,played @Borderlands i have access the new dlc. I can open the mission but then nothing. You have my game on epic
Positive,I am here... With Samsung that is full of homeworks. Away from ps4 and Samsung that won't play fort. And have 1700... Want psycho. Will get him. I am borderlands and Overwatch fan and he is Psycho and Junkratt
Positive,"I'm here... with Samsung, that's full of homework. Away from PS4 and Samsung that won't continue to play. And have 1700... want Psycho. Will get him. I'm a frontier commuter and Overwatch fan and he's Psycho and Junkratt"
Positive,"I'm here... With Samsung, which is full of home affairs. Away from F4 and Samsung that won't play fort. And have 1700... Want psycho. Want him. I am borderlands and Overwatch fan and he is Psycho and Jratt"
Positive,I am here... With Samsung that is full of homeworks. Away from ps4 and Samsung that we play fort. And have 1700... Want psycho. Will get paid. I am borderlands and Overwatch s and he is Psycho... Awesome
Positive,Now I am happy here... With Samsung that is full lots of homeworks. Be Away from ps4 and of Samsung that is won't the play fort. And have the 1700... Want psycho. Will get him. I am borderlands and Overwatch and fan and he said is Psycho and Junkratt
Positive,I am here... and Samsung like is full fucking homeworks. Phone from ps4 and Samsung that has't play fort. will have 1700... Want psycho. Will have me. I am borderlands and Overwatch fan and this is Psycho and Junkratt
Positive,As amazing as this is.... It's been out for MONTHS.... . Please.. . PLEASE.. . Tell us about the Ascension Bluff DOOR.. . It's been A YEAR.
Positive,s been out for months.... Please... PLEASE... Tell us about the Ascension Bluff Door... It has been a YEAR.
Positive,As amazing as it may be... It was for MONTHS... Please... PLEASE... Tell us about the Ascension of the Bluff Door... It has been a YEAR.
Positive,As amazing of this is.... This been out for MONTHS....... PLEASE... Tell us about the Ascension Bluff DOOR... It's been A YEAR.
Positive,As extremely amazing that as this is.... 3 It's been out preparing for some MONTHS..... Please... We PLEASE... Tell us about the Ascension Base Bluff Station DOOR... 2 It's really been A YEAR.
Positive,As amazing saying That is.... It's also happening for MONTHS.....<unk>... PLEASE... Tell us about the Last Bluff here... It's FOR A YEAR.
Positive,"Perfect casting for Lilith, most anticipated film"
Positive,"Perfect casting for Lilith, the most anticipated film"
Positive,"Great casting for ""Lilit,"" the most anticipated film"
Positive,"Perfect casting powers Lilith, most anticipated film"
Positive,"Perfect casting for first Lilith, most anticipated film"
Positive,"Perfect Time for Lilith, most anticipated film"
Negative,@GearboxOfficial fix Borderlands 3 achievements. This is unreal that you guys can’t figure this out.
Negative,@ GearboxOfficial Fix Borderlands 3 Achievements. This is unreal that you can't figure it out.
Negative,@ GearboxOfficial fix the achievements of Borderlands 3. It's unreal that you guys can't understand this.
Negative,@GearboxOfficial fix Borderlands 3 achievements. This is unreal that you guys dont figure it out.
Negative,@GearboxOfficial fix Borderlands 3 achievements. com This is all unreal bad that you guys can ’ t figure about this out.
Negative,@GearboxOfficial fix Borderlands 3 achievements. IT is unreal that you guys will check this out.
Negative,@GearboxOfficial  @Borderlands I love(d) this game. I've spent 325hrs beating the game twice and farming like crazy to get the weapons and anoints that I want. Then you decide that the way that I'm playing wasn't the way you had intended so you weaken my favorite anoint...
Negative,"@ GearboxOfficial @ Borderlands I love (d) this game. I spent 325 hours beating the game twice and working like crazy to get the weapons and ointments I want. Then you decide that the way I play was not what you intended, so you weaken my favorite album..."
Negative,@ GearboxOfficial @ Borderlands I love (d) this game. I spent 325hrs beating the game twice and farming like crazy to get the weapons and money I want.
Negative,@GearboxOfficial  @Borderlands fucking love(d) this game. I've spent 325hrs beating the game twice and farming like crazy to get the weapons and anoints that I want. Only you discover that one way that I'm playing wasn't the way you had wanted so I weaken my favorite anoint...
Negative,@GearboxOfficial @Borderlands I absolutely love ( d ) this game. I've spent my 325hrs beating the game twice and farming like crazy to get the weapons and those anoints there that I want. Then you decide that me the very way that I'W m playing wasn't the way those you had intended so you you totally weaken my favorite anoint...
Negative,@GearboxOfficial @Borderlands I love(d) this game. But've spent 325hrs beating your game twice and farming like crazy to get which way those anoints that I want. And you say that that way that I'm playing wasn't which way it had intended so you weaken my favorite anoint...
Positive,"Just officiated a gay wedding in Borderlands 3, feeling powerful rn."
Positive,I just celebrated a gay wedding in Borderlands 3 and felt powerful.
Positive,"Just played a gay wedding in Borderlands 3, feeling powerful."
Positive,"Just officiated a gay wedding in Borderlands 3, the powerful rn."
Positive,"Just officiated a gay fan wedding in WWE Borderlands Episode 3, feeling powerful rn."
Positive,"once officiated a gay wedding in Borderlands 3, as powerful rn."
Positive,Loving the new DLC!!!. @Borderlands @DuvalMagic @GearboxOfficial pic.twitter.com/PKZJxlGXLj
Positive,I love the new DLC!!!. @ Borderlands @ DuvalMagic @ GearboxOfficial pic.twitter.com / PKZJxlGXLj
